Domain,FIPS,CountryName
northeastsurfing.com,OC,
alwihdainfo.com,CD,Chad
journaldutchad.com,CD,Chad
ndjamena-matin.com,CD,Chad
tchadactuel.com,CD,Chad
tchadenligne.com,CD,Chad
tchadonline.com,CD,Chad
14ymedio.com,CU,Cuba
ahora.cu,CU,Cuba
antonyloewenstein.com,CU,Cuba
babalublog.com,CU,Cuba
blogcindario.com,CU,Cuba
blogia.com,CU,Cuba
cafefuerte.com,CU,Cuba
capitolhillcubans.com,CU,Cuba
cartasdesdecuba.com,CU,Cuba
cibercuba.com,CU,Cuba
cuba.cu,CU,Cuba
cubacontemporanea.com,CU,Cuba
cubadebate.cu,CU,Cuba
cubaencuentro.com,CU,Cuba
cubaheadlines.com,CU,Cuba
cubaminrex.cu,CU,Cuba
cuban-play.com,CU,Cuba
cubanartnews.org,CU,Cuba
cubanet.org,CU,Cuba
cubano1erplano.com,CU,Cuba
cubaverdad.net,CU,Cuba
diariodecuba.com,CU,Cuba
eichikawa.com,CU,Cuba
ellugareno.com,CU,Cuba
envios-cuba.com,CU,Cuba
havanatimes.org,CU,Cuba
impela.net,CU,Cuba
lacronicausa.com,CU,Cuba
latinamericancupid.com,CU,Cuba
latinwomansite.com,CU,Cuba
martinoticias.com,CU,Cuba
mybigfatcubanfamily.com,CU,Cuba
negracubanateniaqueser.com,CU,Cuba
neoclubpress.com,CU,Cuba
payolibre.com,CU,Cuba
prensa-latina.cu,CU,Cuba
revista-portalesmedicos.com,CU,Cuba
riocubatravel.com,CU,Cuba
timba.com,CU,Cuba
fbc.com.fj,FJ,Fiji
fiji.gov.fj,FJ,Fiji
fijilive.com,FJ,Fiji
fijisun.com.fj,FJ,Fiji
fijitimes.com,FJ,Fiji
fijivillage.com,FJ,Fiji
flp.org.fj,FJ,Fiji
guru3d.com,FJ,Fiji
islandsbusiness.com,FJ,Fiji
outrigger.com,FJ,Fiji
pcper.com,FJ,Fiji
pina.com.fj,FJ,Fiji
radiofiji.com.fj,FJ,Fiji
semiaccurate.com,FJ,Fiji
thejetnewspaper.com,FJ,Fiji
guampdn.com,GQ,Guam
kuam.com,GQ,Guam
mvguam.com,GQ,Guam
pacificnewscenter.com,GQ,Guam
13news.xyz,IR,Iran
aftabeyazd.ir,IR,Iran
al-ain.net,IR,Iran
alalam.ir,IR,Iran
alfahirh.net,IR,Iran
alhakyka.com,IR,Iran
alhayatmasriya.com,IR,Iran
alhayatp.net,IR,Iran
alikonline.ir,IR,Iran
alkhaleejaffairs.org,IR,Iran
alsaba7.com,IR,Iran
alshames.com,IR,Iran
alwafanews.com,IR,Iran
alwasatnews.com,IR,Iran
ana.ir,IR,Iran
antonyloewenstein.com,IR,Iran
aryanews.com,IR,Iran
bahai.org,IR,Iran
balatarin.com,IR,Iran
blogcindario.com,IR,Iran
blogfa.com,IR,Iran
blogsky.com,IR,Iran
campaigniran.org,IR,Iran
criticalthreats.org,IR,Iran
digarban.com,IR,Iran
donya.ps,IR,Iran
dreem-news.com,IR,Iran
elkweet.com,IR,Iran
elsafa-nwes.com,IR,Iran
ettelaat.com,IR,Iran
farsnews.com,IR,Iran
frmannews.com,IR,Iran
gooya.com,IR,Iran
goyda.ir,IR,Iran
hamshahrionline.ir,IR,Iran
harmonytalk.com,IR,Iran
hra-news.org,IR,Iran
irancartoon.com,IR,Iran
iranfocus.com,IR,Iran
iranherald.com,IR,Iran
iranhumanrights.org,IR,Iran
iranian.com,IR,Iran
irannewsupdate.com,IR,Iran
iranoilgas.com,IR,Iran
iranpressnews.com,IR,Iran
irantalent.com,IR,Iran
iranwire.com,IR,Iran
irdiplomacy.ir,IR,Iran
islamicinvitationturkey.com,IR,Iran
islamidavet.com,IR,Iran
isna.ir,IR,Iran
kaleme.com,IR,Iran
kar-online.com,IR,Iran
latinwomansite.com,IR,Iran
mafnews.net,IR,Iran
majd-news.com,IR,Iran
manar-news.com,IR,Iran
manilatimescollege.com,IR,Iran
mazandnume.com,IR,Iran
metransparent.com,IR,Iran
ncr-iran.org,IR,Iran
newhashtag.com,IR,Iran
niacouncil.org,IR,Iran
payvand.com,IR,Iran
pensouthazerbaijan.org,IR,Iran
radiofarda.com,IR,Iran
radiozamaneh.com,IR,Iran
rahesabz.net,IR,Iran
roozonline.com,IR,Iran
sham-press.com,IR,Iran
ssre.net,IR,Iran
stopfundamentalism.com,IR,Iran
wfed-news.com,IR,Iran
ahewar.org,IZ,Iraq
aina.org,IZ,Iraq
akhbaar.org,IZ,Iraq
al-shorfa.com,IZ,Iraq
alakhbaar.org,IZ,Iraq
albadeeliraq.com,IZ,Iraq
albaghdadia.com,IZ,Iraq
albasrah.net,IZ,Iraq
alghadpress.com,IZ,Iraq
alhadath-tv.com,IZ,Iraq
alhashimi.org,IZ,Iraq
aliraqnet.net,IZ,Iraq
aliraqnews.com,IZ,Iraq
almadapaper.net,IZ,Iraq
almasalah.com,IZ,Iraq
almustakillah.com,IZ,Iraq
almustaqbalnews.net,IZ,Iraq
alqurtasnews.com,IZ,Iraq
alsabaah.iq,IZ,Iraq
alsharqiya.com,IZ,Iraq
altaakhipress.com,IZ,Iraq
annabaa.org,IZ,Iraq
arabherald.com,IZ,Iraq
azzaman.com,IZ,Iraq
baghdad-times.net,IZ,Iraq
basnews.com,IZ,Iraq
centcom.mil,IZ,Iraq
ekurd.net,IZ,Iraq
epic-usa.org,IZ,Iraq
furatnews.com,IZ,Iraq
hamrinnews.com,IZ,Iraq
hamrinnews.net,IZ,Iraq
irakna.com,IZ,Iraq
iraq-businessnews.com,IZ,Iraq
iraqakhbar.com,IZ,Iraq
iraqdirectory.com,IZ,Iraq
iraqhurr.org,IZ,Iraq
iraqicp.com,IZ,Iraq
iraqinews.com,IZ,Iraq
iraqinquirydigest.org,IZ,Iraq
iraqoilreport.com,IZ,Iraq
iraqsun.com,IZ,Iraq
iraqyoon.net,IZ,Iraq
irq4all.com,IZ,Iraq
jihadica.com,IZ,Iraq
kitabat.com,IZ,Iraq
kululiraq.com,IZ,Iraq
kurdishglobe.net,IZ,Iraq
latinwomansite.com,IZ,Iraq
majalla.com,IZ,Iraq
mustaqila.com,IZ,Iraq
nasiriyah.org,IZ,Iraq
newsabah.com,IZ,Iraq
niqash.org,IZ,Iraq
non14.net,IZ,Iraq
