word,count
و,267170
به,177561
از,162318
که,155800
در,123224
این,82794
با,81472
رو,73733
را,64697
تو,56870
هم,56030
من,49579
برای,37348
یه,36371
ما,33864
تا,33789
می,28412
است,27892
یک,26492
همه,23594
ها,22585
های,22092
شما,22026
مردم,21796
بود,21634
ایران,20412
چه,19976
هر,19712
یا,19066
نه,18847
باید,18815
ولی,18809
شده,18216
ای,17472
بر,17270
،,17021
كه,16467
فقط,16433
اون,16201
بی,15613
دیگه,15153
خیلی,15129
بعد,14709
.,13890
نیست,13568
سال,13554
روز,13303
#براندازم,13165
اگر,13119
چرا,13056
وقتی,13014
خود,12781
دست,12745
اگه,12461
یکی,12307
داره,12248
شد,11941
الان,11656
است.,11451
آن,11412
اما,11298
ی,11179
#iHeartAwards,11069
#EXOL,10885
#BestFanArmy,10851
سر,10829
کسی,10791
میشه,10459
کار,10281
کرده,10279
کردن,9973
هیچ,9937
حالا,9686
همین,9681
امروز,9533
دو,9498
باشه,9218
کرد,9116
کنید,8894
پس,8893
چون,8631
مثل,8599
چی,8295
خوب,8273
اینکه,8272
فکر,8233
دارم,8171
...,8146
اين,8096
هست,7973
-,7714
او,7677
دوست,7642
حرف,7600
خدا,7479
یعنی,7341
زندگی,7295
شدن,7293
چند,7176
کنم,7093
کشور,6958
راه,6927
پیش,6909
اسلامی,6739
تمام,6643
انقلاب,6638
کن,6547
واسه,6518
حتی,6512
نظام,6489
#ایران,6461
حال,6444
گفت,6409
روی,6409
بودن,6288
EXO,6175
تنها,6120
خودش,6103
داشته,6098
باز,6090
نمی,6063
بیشتر,6050
توی,6006
چیزی,6000
میکنم,5985
حق,5934
بار,5914
بچه,5861
مورد,5854
کنه,5796
توییت,5785
صبح,5760
جمهوری,5731
نظر,5723
کردم,5709
شب,5705
زیر,5698
میکنه,5696
آدم,5622
بدون,5507
حجاب,5455
اول,5432
کی,5416
نفر,5377
بوده,5369
وقت,5352
هنوز,5352
#قیام_بهمن,5352
زن,5342
!,5334
زنان,5325
؟,5229
واقعا,5192
#گلستان_هفتم,5155
آزادی,5119
میگه,5114
کنیم,5103
جای,5091
حکومت,5040
قرار,5021
جان,5003
همیشه,4999
عکس,4966
فیلم,4879
:,4877
ساعت,4840
حقوق,4836
بهش,4790
اعتراض,4785
درست,4749
مرگ,4747
سه,4742
دارن,4720
بهمن,4718
آقای,4717
خودم,4669
بشه,4663
منم,4645
دل,4643
ک,4623
تهران,4620
دختر,4617
بین,4614
ایرانی,4612
:)),4588
خب,4566
پول,4553
کاش,4531
دیگر,4530
علی,4496
همون,4477
دنیا,4439
وجود,4433
امام,4431
زمان,4431
زندان,4423
کم,4416
تر,4414
نداره,4384
حمایت,4348
#دختران_خیابان_انقلاب,4335
اینجا,4330
هستند,4315
يه,4313
خبر,4288
ماه,4245
دولت,4241
رژیم,4197
کاری,4175
البته,4175
پیدا,4162
قانون,4118
بازی,4097
میگن,4084
گفته,4079
قبل,4078
چقدر,4071
بودم,4055
اینا,4050
شاید,4044
طرف,4019
دراویش,4004
عشق,3970
ملت,3927
اینه,3901
استفاده,3896
یاد,3871
داده,3848
خواهد,3808
گفتم,3806
خودت,3804
بده,3789
جامعه,3784
توسط,3776
داریم,3772
آنها,3762
اصلا,3758
نگاه,3756
بود.,3734
اسم,3727
سیاسی,3708
شد.,3672
میکنن,3672
الله,3669
ام,3618
:),3594
داد,3591
شود,3586
دنبال,3585
میاد,3570
صدای,3566
جا,3551
دادن,3544
بابا,3518
دلم,3516
دارد,3510
انجام,3498
فردا,3479
خونه,3465
داری,3423
جواب,3419
اسلام,3408
آزاد,3380
علیه,3369
کنی,3368
داشت,3353
پشت,3346
آب,3315
شروع,3314
دوستان,3301
باشد,3279
زدن,3274
بالا,3264
#Taheri_movement,3245
نام,3242
خانم,3230
کنار,3212
بازداشت,3200
گرفته,3187
پر,3186
چشم,3177
چیز,3163
:))),3161
#دراویش_گنابادی,3155
شدم,3152
ترین,3150
هزار,3132
درد,3096
دفاع,3091
ب,3081
منو,3078
بد,3078
زده,3076
حمله,3074
بزرگ,3054
توییتر,3047
نیست.,3036
#KoKoBopTeam,3036
جهان,3026
دانشگاه,3021
جنگ,3007
خیابان,3006
کند,3001
اصلاح,2994
مهم,2986
خواب,2973
لطفا,2971
مگه,2969
شهر,2965
کنن,2962
آمریکا,2954
کنند,2950
اجباری,2916
تاریخ,2912
آقا,2898
دور,2881
کل,2879
شرکت,2875
سوریه,2869
اند,2866
خون,2862
ادامه,2853
مشکل,2847
برنامه,2847
دلیل,2839
اش,2833
دیدم,2833
نمیشه,2822
روزی,2822
تازه,2819
جز,2800
بگم,2799
برا,2798
انسان,2798
زنده,2787
صورت,2783
روحانی,2783
بقیه,2778
نبود,2758
درباره,2756
ملی,2752
خودشون,2752
رفته,2745
کجا,2737
بهم,2710
عنوان,2707
بیرون,2705
اعلام,2692
آیا,2686
خانواده,2683
مرد,2668
خاطر,2660
دوباره,2653
هشتگ,2633
بهتر,2621
ندارم,2612
استاد,2603
میگم,2600
گوش,2594
برابر,2593
گل,2580
جمع,2576
بیا,2565
کرد.,2557
هستن,2530
ساله,2521
#تظاهرات_سراسری,2518
انگار,2479
کردند,2477
باشی,2473
بخاطر,2471
مقابل,2457
برم,2451
انتخاب,2443
لحظه,2435
حضور,2431
نشون,2427
زمین,2424
غیر,2415
زبان,2397
بهترین,2396
گذشته,2395
رای,2384
رفت,2374
وارد,2374
قدرت,2369
مادر,2360
کمک,2347
سقوط,2343
خوبه,2335
دارند,2328
مجلس,2323
بیاد,2319
کتاب,2307
میده,2303
حس,2298
داشتم,2294
امشب,2293
گفتن,2292
زیاد,2282
پلیس,2270
مملکت,2263
بعضی,2254
گروه,2253
هفته,2252
خوش,2246
خوبی,2240
پسر,2240
برف,2235
جایی,2233
است،,2233
نباید,2227
حساب,2225
اعتصاب,2223
بخیر,2221
کشته,2216
برو,2212
خاک,2201
رد,2191
میان,2187
باعث,2175
مي,2175
همان,2173
انقدر,2172
سازمان,2168
شاه,2166
خشونت,2161
موقع,2160
نوشته,2158
جدید,2156
اشتباه,2153
سلام,2152
بگو,2151
ده,2149
ازش,2146
سرکوب,2143
يك,2138
نشان,2138
سپاه,2135
حتما,2128
اولین,2121
جمعه,2121
دکتر,2118
عوض,2109
کلا,2108
بره,2105
کسانی,2103
بیش,2101
خارج,2099
تموم,2098
شعار,2097
بسیار,2095
دلار,2091
رضا,2089
نیروهای,2086
هایی,2084
سی,2084
قبول,2083
وضعیت,2081
پدر,2079
#قیام_سراسری,2076
سوال,2068
ج.ا,2066
باور,2063
اجازه,2062
پای,2061
بحث,2053
صحبت,2049
توجه,2049
داشتن,2046
نیز,2045
قابل,2043
آخر,2040
گرفتن,2036
دروغ,2022
بايد,2020
#دختران_انقلاب,2020
امید,2016
رفتن,2011
میکنی,2011
عمل,2009
عزیز,1997
افراد,1994
جمله,1994
..,1993
کس,1990
رئیس,1990
#کسری_خدمت_ایثارگران,1982
نامه,1972
خامنه,1970
تغییر,1955
سکوت,1955
هستیم,1951
:(,1949
چنین,1947
ریتوییت,1947
باشیم,1944
نمیدونم,1944
قیام,1944
کردی,1941
مثلا,1934
خانه,1926
امنیتی,1926
باد,1924
بهت,1921
رهبر,1920
نتیجه,1915
تلاش,1913
فک,1903
دقیقا,1901
اینو,1899
محمد,1893
تن,1891
خسته,1883
اونا,1882
پا,1880
نشده,1876
عاشق,1874
براي,1872
باش,1871
برخورد,1871
هی,1870
میخوام,1865
ریت,1864
ديگه,1862
😂,1853
يا,1848
نسبت,1847
نیروی,1845
دین,1844
نداشته,1841
ایشون,1839
لباس,1837
چطور,1832
آتش,1829
شه,1827
فراموش,1825
نزدیک,1823
پایین,1815
ندارد,1813
زد,1811
باشید,1800
دیده,1797
بلکه,1795
وسط,1793
خودتون,1790
حداقل,1790
صدا,1784
مال,1780
دوس,1779
همراه,1774
اونجا,1773
اطلاعات,1773
اعدام,1772
خودکشی,1768
وزیر,1765
بود،,1760
مبارزه,1760
سمت,1759
میکنیم,1750
کلی,1750
رسانه,1746
امنیت,1745
هواپیما,1738
بلند,1737
اینها,1737
عده,1735
رابطه,1732
برام,1730
رهبری,1724
حد,1724
دار,1722
منتشر,1721
ايران,1720
حرکت,1714
شورای,1711
واقعی,1711
شرایط,1705
#لجبازی_سردار_با_ایثارگران,1703
اونم,1700
زمانی,1699
گزارش,1697
دم,1695
بگه,1690
کنید.,1689
نیاز,1686
کامل,1683
پست,1682
اتفاق,1678
مى,1678
هستم,1676
درصد,1674
آینده,1673
میخواد,1667
اینقدر,1666
ماشین,1666
بنده,1664
اجتماعی,1662
ظلم,1661
میلیون,1656
هزینه,1653
راحت,1652
"""",1652
دیروز,1649
حضرت,1643
پخش,1639
رفتم,1639
#تهران,1637
درود,1637
کنین,1636
میکنند,1633
دهه,1631
اومد,1631
ایجاد,1630
پایان,1629
چیه,1627
خط,1623
هوا,1622
اصلی,1620
بیدار,1617
آخه,1616
زندانی,1615
جدی,1613
:)))),1606
اینجوری,1606
انتخابات,1605
#زنان_برانداز,1604
بودند,1600
دارید,1600
احساس,1597
موضوع,1588
گرفت,1587
میره,1585
حل,1583
خمینی,1582
غذا,1582
سخت,1579
خبری,1577
تجمع,1577
بدن,1576
جهانی,1570
جلوی,1570
تبدیل,1568
مرا,1568
پی,1562
دختران,1558
آره,1558
+,1555
تصویر,1551
انقد,1550
منطقه,1549
خودمون,1549
بخش,1545
فریاد,1542
پهلوی,1540
نوع,1539
بس,1539
انتظامی,1536
روش,1533
دشمن,1533
#SaveGolrokh_Atena,1529
پیام,1521
توهین,1519
دوران,1514
براش,1510
عدم,1508
متاسفانه,1505
#اجرای_خرید_خدمت_ایثارگران,1505
ان,1505
نداریم,1503
وی,1502
جوری,1501
#EXO_Olympics,1501
گرم,1498
هیچی,1497
اومده,1493
ببینید,1492
جهت,1491
دیدن,1490
وزارت,1487
شدند,1486
قشنگ,1485
:/,1484
نژاد,1482
صد,1481
دوم,1481
بدم,1481
طلب,1480
جناب,1479
سگ,1478
هستی,1477
افتخار,1474
قیمت,1474
میزنه,1472
تحت,1471
اندازه,1465
بازم,1464
نیست،,1463
#رشت_الکتریک,1463
کردیم,1457
پاسخ,1453
شهید,1452
پاک,1451
روشن,1451
اصن,1448
ترس,1448
ارزش,1443
هاي,1440
#غوطه_شرقی,1439
غم,1436
روزنامه,1435
جلو,1431
دیگری,1431
ایشان,1431
بشر,1429
عمومی,1429
مخالف,1428
خالی,1428
نقش,1427
ز,1418
همش,1417
اصل,1416
متوجه,1416
ست,1415
سری,1414
باهاش,1414
اتوبوس,1413
کنند.,1413
کودک,1411
ببین,1410
فحش,1410
