"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","youtube.com","18,062,769","100"
"2","apple.com","4,515,935","100"
"3","www.google.com","12,192,422","100"
"4","support.google.com","4,613,754","99"
"5","cloudflare.com","5,240,172","99"
"6","play.google.com","2,379,422","99"
"7","www.blogger.com","25,679,675","99"
"8","microsoft.com","4,562,931","99"
"9","docs.google.com","2,274,048","98"
"10","wordpress.org","10,125,846","98"
"11","en.wikipedia.org","5,390,424","98"
"12","linkedin.com","9,144,963","98"
"13","maps.google.com","4,356,289","98"
"14","youtu.be","3,889,302","98"
"15","mozilla.org","1,905,644","98"
"16","plus.google.com","11,688,736","97"
"17","europa.eu","1,660,246","97"
"18","adobe.com","2,778,263","97"
"19","accounts.google.com","2,531,608","97"
"20","drive.google.com","1,795,989","97"
"21","sites.google.com","1,737,754","97"
"22","googleusercontent.com","2,177,960","97"
"23","vimeo.com","3,061,358","97"
"24","cnn.com","1,202,573","96"
"25","istockphoto.com","3,127,969","96"
"26","es.wikipedia.org","772,048","96"
"27","github.com","2,026,674","96"
"28","bp.blogspot.com","16,080,191","96"
"29","bbc.co.uk","1,396,319","96"
"30","facebook.com","46,204,949","96"
"31","line.me","636,855","96"
"32","amazon.com","3,993,485","96"
"33","vk.com","1,613,830","96"
"34","uol.com.br","563,456","96"
"35","gstatic.com","582,552","95"
"36","slideshare.net","872,011","95"
"37","nytimes.com","1,666,379","95"
"38","dailymotion.com","1,058,881","95"
"39","google.es","416,378","95"
"40","news.google.com","690,757","95"
"41","paypal.com","897,654","95"
"42","fr.wikipedia.org","528,204","95"
"43","mail.ru","474,982","95"
"44","issuu.com","839,108","95"
"45","pt.wikipedia.org","355,058","95"
"46","imdb.com","1,216,126","95"
"47","globo.com","378,523","95"
"48","www.yahoo.com","907,634","95"
"49","policies.google.com","1,122,244","95"
"50","nih.gov","1,038,441","95"
"51","creativecommons.org","1,563,880","95"
"52","wikimedia.org","1,364,119","95"
"53","whatsapp.com","2,021,743","95"
"54","washingtonpost.com","858,576","95"
"55","get.google.com","755,435","95"
"56","t.me","591,591","95"
"57","bbc.com","654,332","95"
"58","theguardian.com","1,183,992","95"
"59","google.de","1,064,315","95"
"60","google.fr","383,004","95"
"61","w3.org","1,044,944","95"
"62","hugedomains.com","4,909,027","95"
"63","developers.google.com","884,846","95"
"64","mail.google.com","438,366","95"
"65","msn.com","971,548","95"
"66","forbes.com","1,125,249","95"
"67","live.com","727,941","95"
"68","opera.com","735,946","95"
"69","medium.com","1,136,609","95"
"70","dropbox.com","920,779","95"
"71","feedburner.com","1,693,115","95"
"72","google.com.br","265,906","95"
"73","reuters.com","716,903","95"
"74","myspace.com","1,242,027","95"
"75","jimdofree.com","1,695,031","95"
"76","google.co.jp","623,777","95"
"77","ebay.com","865,409","94"
"78","booking.com","349,847","94"
"79","cpanel.net","1,291,264","94"
"80","archive.org","881,939","94"
"81","office.com","347,804","94"
"82","harvard.edu","578,673","94"
"83","gravatar.com","1,639,257","94"
"84","id.wikipedia.org","410,828","94"
"85","networkadvertising.org","688,150","94"
"86","buydomains.com","1,117,597","94"
"87","marketingplatform.google.com","742,134","94"
"88","mirror.co.uk","254,987","94"
"89","tools.google.com","1,448,351","94"
"90","plesk.com","704,092","94"
"91","rakuten.co.jp","578,361","94"
"92","namecheap.com","1,050,053","94"
"93","draft.blogger.com","10,076,284","94"
"94","abril.com.br","222,283","94"
"95","books.google.com","340,250","94"
"96","twitter.com","48,560,012","94"
"97","cdc.gov","646,667","94"
"98","dan.com","1,859,097","94"
"99","myaccount.google.com","261,461","94"
"100","www.gov.uk","481,075","94"
"101","scribd.com","647,664","94"
"102","usatoday.com","630,830","94"
"103","themeforest.net","501,399","94"
"104","change.org","397,865","94"
"105","google.pl","199,350","94"
"106","independent.co.uk","510,498","94"
"107","lefigaro.fr","185,015","94"
"108","bing.com","886,568","94"
"109","android.com","256,421","94"
"110","telegram.me","273,427","94"
"111","webmd.com","543,974","94"
"112","ig.com.br","129,800","94"
"113","time.com","603,672","94"
"114","search.google.com","1,038,213","94"
"115","businessinsider.com","567,405","94"
"116","4shared.com","505,714","94"
"117","ipv4.google.com","352,362","94"
"118","aboutads.info","474,305","94"
"119","amazon.co.uk","623,133","94"
"120","foxnews.com","447,007","94"
"121","nasa.gov","544,397","94"
"122","google.ru","179,629","94"
"123","tinyurl.com","1,247,296","94"
"124","translate.google.com","270,268","94"
"125","aliexpress.com","441,361","94"
"126","photos.google.com","226,631","94"
"127","google.co.uk","536,119","94"
"128","who.int","2,007,446","94"
"129","amazon.de","487,551","94"
"130","ok.ru","330,026","94"
"131","www.wikipedia.org","512,299","94"
"132","latimes.com","569,176","94"
"133","bloomberg.com","670,492","94"
"134","steampowered.com","216,200","94"
"135","bit.ly","4,071,269","94"
"136","wikia.com","453,185","94"
"137","indiatimes.com","329,259","94"
"138","news.yahoo.com","571,495","94"
"139","thesun.co.uk","251,080","94"
"140","huffingtonpost.com","858,727","94"
"141","hatena.ne.jp","1,374,801","94"
"142","goo.gl","4,161,911","94"
"143","telegraph.co.uk","759,470","94"
"144","pinterest.com","7,353,079","94"
"145","de.wikipedia.org","582,652","94"
"146","cnet.com","548,417","94"
"147","un.org","421,634","94"
"148","wired.com","526,751","94"
"149","wsj.com","790,400","94"
"150","terra.com.br","184,193","94"
"151","fb.com","360,082","94"
"152","mediafire.com","760,702","94"
"153","aol.com","648,865","94"
"154","fandom.com","429,666","94"
